,0
532,5.9
533,5.8
534,5.8
535,5.9
536,5.4
537,5.7
538,6.5
539,6.2
540,4.9
541,7.7
542,6.6
543,6.9
544,6.6
545,4.5
546,6.9
547,6.2
548,5.4
549,6.4
550,6.7
551,6.6
552,5.7
553,5.8
554,5.8
555,6.4
556,7.9
557,6.6
558,6.6
559,5.8
560,6.5
561,5.3
562,5.5
563,5.4
564,6.7
565,6.2
566,6.3
567,5.5
568,7.6
569,7.0
570,5.8
571,7.1
572,5.8
573,6.2
574,6.0
575,7.1
576,7.0
577,5.2
578,5.4
579,5.0
580,5.2
581,6.1
582,6.0
583,5.9
584,6.1
585,4.3
586,5.5
587,5.9
588,5.9
589,5.1
590,5.7
591,4.6
592,6.7
593,4.4
594,5.9
595,5.8
596,6.7
597,7.1
598,5.4
599,6.2
600,6.9
601,5.7
602,5.4
603,7.3
604,6.3
605,6.5
606,5.5
607,5.5
608,6.0
609,6.6
610,5.0
611,7.9
612,6.1
613,6.1
614,7.1
615,5.3
616,6.7
617,7.9
618,7.3
619,5.5
620,7.1
621,6.3
622,6.5
623,6.3
624,6.2
625,7.3
626,6.3
627,6.1
628,5.7
629,6.0
630,5.9
631,5.9
632,7.1
633,6.0
634,6.7
635,5.9
636,5.7
637,6.4
638,5.6
639,6.0
640,6.5
641,6.1
642,8.3
643,6.7
644,5.4
645,5.0
646,6.7
647,4.8
648,6.3
649,5.3
650,6.7
651,7.1
652,5.9
653,6.1
654,7.6
655,6.5
656,6.4
657,5.9
658,5.3
659,6.1
660,6.5
661,4.3
662,5.8
663,7.6
664,5.5
665,7.0
666,6.1
667,6.9
668,8.2
669,5.6
670,5.6
671,7.9
672,7.3
673,6.6
674,6.1
675,7.8
676,6.8
677,5.6
678,6.6
679,5.0
680,6.6
681,5.9
682,6.0
683,5.3
684,5.9
685,5.7
686,6.4
687,5.8
688,6.6
689,6.8
690,6.7
691,7.0
692,5.3
693,6.2
694,6.3
695,5.6
696,6.2
697,7.3
698,4.9
699,7.3
700,4.5
701,5.6
702,5.5
703,6.5
704,6.1
705,6.7
706,6.1
707,5.9
708,5.8
709,5.6
710,5.9
711,6.4
712,5.8
713,5.9
714,6.9
715,6.6
716,6.3
717,7.5
718,6.0
719,6.2
720,4.6
721,7.0
722,6.7
723,5.7
724,5.1
725,5.8
726,5.6
727,6.1
728,5.8
729,6.2
730,5.8
731,5.7
732,5.9
733,6.6
734,6.3
735,7.4
736,5.1
737,4.7
738,5.4
739,6.6
740,6.5
741,6.1
742,5.7
743,6.3
744,7.0
745,4.9
746,6.0
747,6.2
748,5.0
749,5.3
750,6.0
751,4.7
752,5.4
753,6.0
754,6.8
755,7.4
756,7.4
757,6.2
758,6.5
759,4.4
760,5.7
761,5.7
762,5.1
763,6.1
764,5.8
765,5.9
766,7.2
767,5.5
768,6.4
769,6.0
770,4.7
771,5.5
772,5.8
773,6.0
774,8.2
775,5.5
776,6.6
777,6.7
778,6.9
779,5.4
780,6.4
781,6.0
782,7.6
783,5.9
784,6.0
785,7.1
786,5.6
787,7.0
788,7.7
789,6.1
790,5.9
791,6.4
792,7.7
793,7.6
794,6.1
795,6.3
796,6.2
797,5.8
798,5.7
799,6.3
800,5.7
801,6.2
802,5.9
803,6.7
804,6.4
805,7.0
806,5.3
807,6.0
808,5.1
809,5.4
810,6.4
811,7.3
812,5.3
813,5.7
814,7.0
815,6.6
816,5.4
817,6.1
818,5.2
819,6.2
820,4.2
821,6.9
822,7.3
823,5.3
824,6.2
825,7.5
826,5.2
827,7.1
828,6.1
829,5.4
830,6.5
831,3.5
832,5.7
833,5.5
834,7.4
835,7.4
836,5.4
837,6.3
838,6.7
839,7.2
840,6.8
841,5.4
842,7.7
843,6.7
844,5.6
845,6.4
846,5.7
847,5.1
848,7.2
849,5.9
850,6.9
851,7.8
852,6.1
853,6.1
854,5.3
855,5.1
856,5.6
857,7.3
858,6.5
859,6.6
860,6.7
861,6.3
862,7.2
863,7.0
864,6.0
865,5.6
866,6.6
867,7.1
868,6.3
869,7.0
870,7.2
871,6.4
872,6.2
873,5.8
874,5.6
875,7.3
876,6.7
877,5.0
878,6.5
879,5.9
880,5.5
881,5.4
882,7.0
883,5.2
884,7.0
885,6.3
886,6.8
887,5.5
888,7.7
889,6.0
890,6.2
891,5.1
892,6.0
893,5.7
894,6.3
895,5.9
896,6.3
897,7.0
898,7.3
899,5.6
900,6.4
901,6.0
902,7.5
903,6.3
904,6.1
905,6.8
906,5.8
907,5.5
908,6.2
909,7.2
910,6.1
911,6.1
912,6.1
913,4.5
914,4.4
915,6.3
916,5.9
917,6.2
918,4.4
919,5.0
920,5.8
921,6.0
922,6.0
923,6.0
924,5.9
925,6.0
926,6.2
927,6.1
928,6.0
929,5.6
930,7.6
931,7.1
932,6.6
933,7.3
934,6.3
935,7.2
936,5.8
937,6.2
938,5.2
939,5.8
940,5.9
941,5.8
942,5.5
943,6.5
944,6.0
945,5.2
946,5.6
947,5.6
948,4.7
949,5.0
950,5.3
951,3.9
952,5.7
953,6.2
954,7.2
955,6.9
956,7.6
957,6.5
958,6.6
959,6.5
960,6.5
961,6.6
962,6.1
963,6.0
964,7.1
965,5.6
966,6.6
967,6.9
968,6.1
969,6.5
970,5.7
971,6.6
972,5.9
973,6.6
974,6.5
975,7.2
976,4.6
977,5.7
978,6.3
979,6.8
980,7.0
981,4.4
982,6.2
983,6.4
984,6.6
985,6.5
986,5.0
987,6.1
988,5.8
989,6.1
990,5.8
991,6.0
992,6.3
993,6.4
994,7.0
995,6.3
996,5.6
997,7.9
998,7.3
999,6.9
1000,5.4
1001,6.5
1002,6.5
1003,7.3
1004,5.9
1005,4.7
1006,5.8
1007,7.0
1008,6.8
1009,6.6
1010,5.5
1011,5.9
1012,5.6
1013,6.6
1014,6.1
1015,6.6
1016,6.4
1017,6.2
1018,6.1
1019,6.0
1020,5.5
1021,6.5
1022,6.7
1023,6.2
1024,5.4
1025,5.3
1026,6.5
1027,6.1
1028,4.7
1029,7.1
1030,6.7
1031,6.0
1032,6.3
1033,5.0
1034,6.3
1035,6.4
1036,4.0
1037,6.0
1038,2.3
1039,7.1
1040,7.2
1041,5.5
1042,7.3
1043,6.3
1044,6.9
1045,6.4
1046,6.4
1047,5.6
1048,7.0
1049,6.6
1050,5.3
1051,6.6
1052,6.8
1053,6.3
1054,6.7
1055,7.0
1056,6.5
1057,5.8
1058,5.4
1059,6.5
1060,6.7
1061,6.0
1062,6.1
1063,6.1
1064,5.9
1065,5.6
1066,5.7
1067,4.0
1068,7.0
1069,7.2
1070,5.3
1071,6.1
1072,6.3
1073,6.8
1074,6.8
