,0
520,355916403
521,100750960
522,50749724
523,72542738
524,19288005
525,26065835
526,34932886
527,-30393247
528,77308968
529,-9333035
530,99501427
531,-97529576
532,168732712
533,31181831
534,-49085152
535,-29436223
536,-79624485
537,6616782
538,-88149005
539,-29214697
540,222184547
541,1141131177
542,8655794
543,40702074
544,-81558546
545,287902376
546,47639324
547,-15441477
548,19502148
549,107308725
550,134400452
551,189133812
552,29914201
553,529236305
554,-43931621
555,-49723930
556,-15012297
557,239527394
558,294423197
559,420361968
560,937467193
561,405651892
562,311389192
563,259342603
564,250409351
565,310423918
566,284096181
567,333460239
568,248849749
569,45212152
570,171493962
571,-38805517
572,123216129
573,419807846
574,49582121
575,98488667
576,63244107
577,147142093
578,65293829
579,123946816
580,90751981
581,29658196
582,72871931
583,155406404
584,61495555
585,76751021
586,82046254
587,-3207209
588,-5029004
589,-4822663
590,-45554221
591,98789807
592,-17081751
593,-47147035
594,-9133867
595,-62602713
596,-66049817
597,-77778181
598,-55547080
599,-55065155
600,-14663236
601,-37210931
602,78893289
603,-9312419
604,156269357
605,709598868
606,3888566
607,534051083
608,-33672516
609,157060550
610,-35303468
611,-49724465
612,52385438
613,-38634830
614,-29022153
615,50006853
616,19569505
617,47431229
618,190383449
619,162324319
620,-48814568
621,542635637
622,146594798
623,390305310
624,405371634
625,9519640
626,230543043
627,520830543
628,415598161
629,134835533
630,417478734
631,244835719
632,72916068
633,204605916
634,165197361
635,105124351
636,81990648
637,260297394
638,135630695
639,6032108
640,118553329
641,-80199824
642,125393376
643,126256858
644,73492817
645,109465111
646,100830978
647,77820431
648,54120142
649,-85643061
650,192025703
651,33232894
652,33081506
653,-83422783
654,-815458
655,49224806
656,-25448954
657,-69019006
658,-83422783
659,6572309
660,-9502229
661,16443276
662,-27329363
663,13795324
664,156433453
665,97480251
666,292105472
667,-23843467
668,1205949419
669,-52696617
670,213696692
671,59595658
672,44594395
673,84278079
674,62879449
675,-23317532
676,-54821771
677,117788221
678,-62047018
679,134353588
680,424188570
681,531719696
682,212693149
683,292068571
684,296918895
685,197624438
686,329257035
687,192566633
688,403203182
689,116652983
690,268943195
691,195810591
692,128855042
693,76756687
694,42275699
695,143212420
696,41698812
697,147250547
698,116138595
699,143312316
700,83146619
701,263755254
702,162736175
703,-77005646
704,15379499
705,58817918
706,167179951
707,186027930
708,131682787
709,17708089
710,173587540
711,17748078
712,-68420900
713,86143152
714,73662395
715,119475205
716,73422360
717,13181864
718,134279203
719,94458976
720,40574025
721,-17520065
722,51678549
723,132606325
724,44751269
725,-81159168
726,-10540763
727,60747701
728,-10092334
729,43352743
730,151611824
731,122820372
732,40619719
